image_link,player_name
https://cdn.nba.com/headshots/nba/latest/260x190/1630551.png,Justin Champagnie
https://cdn.nba.com/headshots/nba/latest/260x190/1642279.png,Ulrich Chomche
https://cdn.nba.com/headshots/nba/latest/260x190/1642353.png,Cam Christie
https://cdn.nba.com/headshots/nba/latest/260x190/1631108.png,Max Christie
https://cdn.nba.com/headshots/nba/latest/260x190/1630528.png,Josh Christopher
https://cdn.nba.com/headshots/nba/latest/260x190/1631321.png,Sidy Cissoko
https://cdn.nba.com/headshots/nba/latest/260x190/1641740.png,Jaylen Clark
https://cdn.nba.com/headshots/nba/latest/260x190/1629634.png,Brandon Clarke
https://cdn.nba.com/headshots/nba/latest/260x190/203903.png,Jordan Clarkson
https://cdn.nba.com/headshots/nba/latest/260x190/1629651.png,Nic Claxton
https://cdn.nba.com/headshots/nba/latest/260x190/1642270.png,Donovan Clingan
https://cdn.nba.com/headshots/nba/latest/260x190/1641730.png,Noah Clowney
https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png,Amir Coffey
https://cdn.nba.com/headshots/nba/latest/260x190/1642268.png,Isaiah Collier
https://cdn.nba.com/headshots/nba/latest/260x190/1628381.png,John Collins
https://cdn.nba.com/headshots/nba/latest/260x190/1628380.png,Zach Collins
https://cdn.nba.com/headshots/nba/latest/260x190/201144.png,Mike Conley
https://cdn.nba.com/headshots/nba/latest/260x190/1626192.png,Pat Connaughton
https://cdn.nba.com/headshots/nba/latest/260x190/1641731.png,Bilal Coulibaly
https://cdn.nba.com/headshots/nba/latest/260x190/1641741.png,Ricky Council IV
https://cdn.nba.com/headshots/nba/latest/260x190/1628470.png,Torrey Craig
https://cdn.nba.com/headshots/nba/latest/260x190/1642384.png,Isaiah Crawford
https://cdn.nba.com/headshots/nba/latest/260x190/203109.png,Jae Crowder
https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png,Cade Cunningham
https://cdn.nba.com/headshots/nba/latest/260x190/203552.png,Seth Curry
https://cdn.nba.com/headshots/nba/latest/260x190/201939.png,Stephen Curry
https://cdn.nba.com/headshots/nba/latest/260x190/1641783.png,Tristan da Silva
